g10007.t1	NODE_4022_length_11313_cov_18.916963	X	2210.27	3291.04	92	17	0.00769136802291123	0.0279546890952404	0.275136954544802
g10015.t1	NODE_14622_length_5561_cov_19.200948	X	723.45	248.4	13	11	0.0152049208652982	0.0523349436392915	0.290530949456929
g10019.t2	NODE_521_length_26390_cov_22.135522	X	6112.76	3460.52	68	28	0.00458058225744181	0.0196502259775987	0.233105831081214
g10020.t1	NODE_521_length_26390_cov_22.135522	X	735.79	393.08	22	20	0.0271816686826404	0.0559682507377633	0.485662287535105
g10035.t1	NODE_15103_length_5444_cov_34.281349	A	2418.47	2025.94	81	22	0.00909666028522165	0.0399814407139402	0.227522073311629
g10038.t1	NODE_1985_length_15483_cov_17.514929	X	5317.44	1782.38	240	96	0.0180538003249684	0.134651421133541	0.134078052596738
g10046.t1	NODE_27494_length_3505_cov_33.732789	A	2923.79	2612.08	63	63	0.0215473751534823	0.0241187099935683	0.893388376046159
g1005.t1	NODE_1732_length_16358_cov_33.672747	A	1059.66	894.32	31	6	0.00566219353377498	0.0346632078003399	0.163348803907279
g10053.t1	NODE_5476_length_9742_cov_37.418727	A	1817.54	1424.08	24	30	0.0165058265567745	0.0168529857873153	0.979400728457145
g10055.t1	NODE_7426_length_8333_cov_35.187984	A	1180.82	994.14	32	13	0.0110092986229908	0.0321886253445189	0.342024504158127
g10068.t1	NODE_10250_length_6927_cov_22.554307	X	717.46	412.42	28	15	0.020907088896942	0.0678919548033558	0.307946485817029
g10069.t1	NODE_10250_length_6927_cov_22.554307	X	356.48	219.46	9	0	0	0.0410097512075093	0
g10072.t1	NODE_11845_length_6351_cov_35.675327	A	640.98	547.96	2	3	0.00468033323972667	0.00364990145266078	1.28231770102031
g10073.t1	NODE_20809_length_4362_cov_29.465111	A	1561.4	2076.3	63	14	0.00896631228384783	0.0303424360641526	0.295504034840528
g10076.t1	NODE_119_length_46209_cov_37.320840	A	436.13	712.76	16	6	0.0137573659230046	0.0224479488186767	0.612856258455048
g10084.t1	NODE_15573_length_5326_cov_40.375310	A	1200.69	1775.88	45	42	0.034979886565225	0.0253395499695925	1.38044624341004
