g1002.t1	CM037556.1	A	940.58	307.16	82	18	0.0191371281549682	0.266961843990103	0.0716848815131712
g10049.t1	CM037558.1	X	2528.58	851.66	143	38	0.0150281976445278	0.167907380879694	0.0895029007408287
g10050.t1	CM037558.1	X	1455.03	524.56	0	0	0	0	NA
g10054.t1	CM037558.1	X	1070.11	357.72	24	7	0.00654138359607891	0.0670915800067092	0.0974993224995561
g10056.t1	CM037558.1	X	315.49	104.48	0	0	0	0	NA
g10058.t1	CM037558.1	X	3349.03	1147.06	178	91	0.0271720468314706	0.155179328021202	0.175100944036554
g10066.t1	CM037558.1	X	2209.57	750.64	215	35	0.0158401860995578	0.286422253010764	0.0553036153198702
g10067.t1	CM037558.1	X	1352.72	422.94	27	4	0.00295700514518895	0.0638388423889913	0.0463198428187487
g10105.t1	CM037558.1	X	1642.52	526.04	112	9	0.00547938533472956	0.212911565660406	0.0257354987632245
g10107.t1	CM037558.1	X	1655.88	557.76	28	5	0.00301954247892359	0.0502008032128514	0.060149286180158
g1012.t1	CM037556.1	A	466.32	142.64	24	9	0.0193000514668039	0.168255748738082	0.114706639217705
g10121.t1	CM037558.1	X	471.95	151.9	24	0	0	0.157998683344305	0
g10124.t1	CM037558.1	X	2556.61	877.72	204	19	0.0074317162179605	0.232420361846603	0.0319753233275897
g10129.t1	CM037558.1	X	1030.76	346.02	90	2	0.00194031588342582	0.260100572221259	0.00745986779981114
g1013.t1	CM037556.1	A	427.15	127.8	18	13	0.0304342736743533	0.140845070422535	0.216083343087908
g10130.t1	CM037558.1	X	1626.49	550.98	34	2	0.00122964174387792	0.0617082289738285	0.0199267061188781
g10131.t1	CM037558.1	X	1010.54	366.08	23	7	0.00692698953035011	0.0628277972027972	0.110253579446546
g10137.t1	CM037558.1	X	1322.07	447.64	88	9	0.00680750641040187	0.196586542757573	0.0346285473812761
g10138.t1	CM037558.1	X	914.46	318.42	58	3	0.00328062463092973	0.182149362477231	0.0180106292238042
g10139.t1	CM037558.1	X	1953.34	725.18	23	5	0.00255971822621766	0.0317162635483604	0.0807068027516748
g10141.t1	CM037558.1	X	2252.49	818.98	6	1	0.000443953136306931	0.00732618623165401	0.0605981232621085
g10146.t1	CM037558.1	X	764.61	249.22	9	1	0.00130785629275055	0.0361126715351898	0.0362159939199214
g10148.t1	CM037558.1	X	4004.4	1409.8	325	44	0.0109879132953751	0.230529153071358	0.0476638774271378
g1015.t1	CM037556.1	A	1393.58	472.16	45	9	0.00645818682816918	0.0953066757031515	0.067762166506408
g10150.t1	CM037558.1	X	339.48	110.46	2	0	0	0.0181061017562919	0
g10156.t1	CM037558.1	X	767.96	257.92	36	12	0.0156258138444711	0.139578163771712	0.111950275187944
g10158.t1	CM037558.1	X	719.77	228.04	6	1	0.00138933270350251	0.0263111734783371	0.0528039049511186
g10160.t1	CM037558.1	X	2205.02	737.54	87	17	0.00770968063781734	0.117959703880468	0.0653585960645495
g10168.t1	CM037558.1	X	948.11	311.72	52	5	0.00527364968199892	0.166816373668677	0.0316135015167828
g10171.t1	CM037558.1	X	1744.15	571.3	117	12	0.00688014218960525	0.204796079117802	0.0335950874608673
g10172.t1	CM037558.1	X	379.79	124.08	18	5	0.013165170225651	0.145067698259188	0.0907519067554877
g10173.t1	CM037558.1	X	777.92	262.84	35	6	0.00771287535993418	0.133160858316847	0.0579214902744314
g10174.t1	CM037558.1	X	1814.16	615.32	121	11	0.00606341226793668	0.196645647793018	0.0308342052620396
g10183.t1	CM037558.1	X	471.44	152.38	33	1	0.00212116069913457	0.216563853524085	0.00979462022224622
g10184.t1	CM037558.1	X	327.62	110.24	23	4	0.0122092668335266	0.208635703918723	0.0585195467707816
g10186.t1	CM037558.1	X	1299.91	436.82	55	12	0.00923140832826888	0.125909985806511	0.0733175233809893
g10188.t1	CM037558.1	X	953.58	324.16	59	3	0.00314603913672686	0.182008884501481	0.0172850855349386
g10189.t1	CM037558.1	X	490.95	150.9	44	7	0.0142580710866687	0.291583830351226	0.0488987028858706
g10194.t1	CM037558.1	X	1678	592.5	30	6	0.00357568533969011	0.0506329113924051	0.0706197854588796
g10195.t1	CM037558.1	X	687.45	236.4	37	10	0.0145465124736344	0.156514382402707	0.0929404202369509
g10198.t1	CM037558.1	X	904.27	307.54	5	2	0.00221172879781481	0.0162580477336281	0.136039014895993
g10199.t1	CM037558.1	X	1294.54	418.08	1	1	0.000772475164923448	0.00239188672024493	0.322956416951195
g10201.t1	CM037558.1	X	493.11	163.72	72	8	0.0162235606659772	0.439775225995602	0.0368905743365803
g10202.t1	CM037558.1	X	1037.06	351.62	66	10	0.00964264362717683	0.187702633524828	0.0513719144270896
g10203.t1	CM037558.1	X	363.31	116.62	21	13	0.0357821144477168	0.180072028811525	0.198710008899654
g10205.t1	CM037558.1	X	709.44	250.38	20	6	0.0084573748308525	0.0798785845514818	0.105877875507442
g10206.t1	CM037558.1	X	697.44	232.38	28	16	0.0229410415232852	0.120492297099578	0.190394258185036
g10208.t1	CM037558.1	X	915.27	314.54	70	17	0.0185737541927519	0.222547211801361	0.0834598377684025
